Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit, Profit Value , Loss Value ,Date,Month,Quarter,Customer_Name,Product_Name,Country,Profit/Loss
Enterprise,CUST_ID_001,PROD_ID_001,None,345,5,125,"43,125.00",0,"43,125.00","41,400.00","1,725.00"," 1,725.00 ",  ,22/09/2021,Sep,Q3,James Smith,Montana,USA,Profit
Midmarket,CUST_ID_002,PROD_ID_002,None,549,10,15,"8,235.00",0,"8,235.00","5,490.00","2,745.00"," 2,745.00 ",  ,11/01/2021,Jan,Q1,Emma Johnson,Paseo,Canada,Profit
Small Business,CUST_ID_003,PROD_ID_002,None,788,10,300,"236,400.00",0,"236,400.00","197,000.00","39,400.00"," 39,400.00 ",  ,27/01/2022,Jan,Q1,Noah Williams,Paseo,England,Profit
Government,CUST_ID_004,PROD_ID_002,None,"1,725.00",10,350,"603,750.00",0,"603,750.00","448,500.00","155,250.00"," 155,250.00 ",  ,01/08/2021,Aug,Q3,Olivia Brown,Paseo,France,Profit
Channel Partners,CUST_ID_005,PROD_ID_002,None,912,10,12,"10,944.00",0,"10,944.00","2,736.00","8,208.00"," 8,208.00 ",  ,08/07/2022,Jul,Q3,Liam Jones,Paseo,Germany,Profit
Midmarket,CUST_ID_006,PROD_ID_002,None,"2,152.00",10,15,"32,280.00",0,"32,280.00","21,520.00","10,760.00"," 10,760.00 ",  ,28/09/2022,Sep,Q3,Ava Davis,Paseo,Italy,Profit
Enterprise,CUST_ID_007,PROD_ID_003,None,345,120,125,"43,125.00",0,"43,125.00","41,400.00","1,725.00"," 1,725.00 ",  ,26/09/2021,Sep,Q3,Ethan Miller,Velo,India,Profit
Government,CUST_ID_008,PROD_ID_004,None,"1,527.00",250,350,"534,450.00",0,"534,450.00","397,020.00","137,430.00"," 137,430.00 ",  ,11/02/2021,Feb,Q1,Isabella Wilson,VTT,Japan,Profit
Enterprise,CUST_ID_009,PROD_ID_005,Low,330,3,125,"41,250.00",412.5,"40,837.50","39,600.00","1,237.50"," 1,237.50 ",  ,12/01/2022,Jan,Q1,Mason Taylor,Carretera,USA,Profit
Channel Partners,CUST_ID_010,PROD_ID_005,Low,766,3,12,"9,192.00",91.92,"9,100.08","2,298.00","6,802.08"," 6,802.08 ",  ,06/04/2022,Apr,Q2,Sophia Anderson,Carretera,Canada,Profit
Small Business,CUST_ID_011,PROD_ID_005,Low,494,3,300,"148,200.00",1482,"146,718.00","123,500.00","23,218.00"," 23,218.00 ",  ,19/11/2021,Nov,Q4,Benjamin Martinez,Carretera,England,Profit
Small Business,CUST_ID_012,PROD_ID_001,Low,"2,498.00",5,300,"749,400.00",7494,"741,906.00","624,500.00","117,406.00"," 117,406.00 ",  ,20/12/2021,Dec,Q4,Mia Thomas,Montana,France,Profit
Enterprise,CUST_ID_013,PROD_ID_001,Low,663,5,125,"82,875.00",828.75,"82,046.25","79,560.00","2,486.25"," 2,486.25 ",  ,27/02/2021,Feb,Q1,Logan Jackson,Montana,Germany,Profit
Channel Partners,CUST_ID_014,PROD_ID_002,Low,766,10,12,"9,192.00",91.92,"9,100.08","2,298.00","6,802.08"," 6,802.08 ",  ,10/07/2022,Jul,Q3,Charlotte White,Paseo,Italy,Profit
Enterprise,CUST_ID_015,PROD_ID_003,Low,663,120,125,"82,875.00",828.75,"82,046.25","79,560.00","2,486.25"," 2,486.25 ",  ,29/03/2022,Mar,Q1,Samuel Taylor,Velo,India,Profit
Government,CUST_ID_016,PROD_ID_003,Low,"2,092.00",120,7,"14,644.00",146.44,"14,497.56","10,460.00","4,037.56"," 4,037.56 ",  ,19/10/2022,Oct,Q4,Harper Davis,Velo,Japan,Profit
Small Business,CUST_ID_017,PROD_ID_004,Low,494,250,300,"148,200.00",1482,"146,718.00","123,500.00","23,218.00"," 23,218.00 ",  ,31/07/2022,Jul,Q3,Henry Anderson,VTT,USA,Profit
Channel Partners,CUST_ID_018,PROD_ID_006,Low,"1,989.00",260,12,"23,868.00",238.68,"23,629.32","5,967.00","17,662.32"," 17,662.32 ",  ,29/03/2022,Mar,Q1,Amelia Garcia,Amarilla,Canada,Profit
Midmarket,CUST_ID_019,PROD_ID_006,Low,321,260,15,"4,815.00",48.15,"4,766.85","3,210.00","1,556.85"," 1,556.85 ",  ,27/07/2022,Jul,Q3,Jackson Martinez,Amarilla,England,Profit
Small Business,CUST_ID_020,PROD_ID_005,Low,214,3,300,"64,200.00",1284,"62,916.00","53,500.00","9,416.00"," 9,416.00 ",  ,30/08/2021,Aug,Q3,Abigail Robinson,Carretera,France,Profit
Government,CUST_ID_021,PROD_ID_005,Low,"2,145.00",3,7,"15,015.00",300.3,"14,714.70","10,725.00","3,989.70"," 3,989.70 ",  ,15/10/2021,Oct,Q4,Aiden Lewis,Carretera,Germany,Profit
Enterprise,CUST_ID_022,PROD_ID_001,Low,"1,660.00",5,125,"207,500.00",4150,"203,350.00","199,200.00","4,150.00"," 4,150.00 ",  ,30/10/2022,Oct,Q4,Emily Clark,Montana,Italy,Profit
Enterprise,CUST_ID_023,PROD_ID_002,Low,809,10,125,"101,125.00",2022.5,"99,102.50","97,080.00","2,022.50"," 2,022.50 ",  ,10/12/2021,Dec,Q4,Sebastian Lee,Paseo,India,Profit
Enterprise,CUST_ID_024,PROD_ID_002,Low,"2,145.00",10,125,"268,125.00",5362.5,"262,762.50","257,400.00","5,362.50"," 5,362.50 ",  ,23/05/2021,May,Q2,Elizabeth Green,Paseo,Japan,Profit
Channel Partners,CUST_ID_025,PROD_ID_002,Low,"1,785.00",10,12,"21,420.00",428.4,"20,991.60","5,355.00","15,636.60"," 15,636.60 ",  ,18/02/2021,Feb,Q1,Alexander Perez,Paseo,USA,Profit
Midmarket,CUST_ID_026,PROD_ID_002,Low,"1,925.00",10,15,"28,875.00",577.5,"28,297.50","19,250.00","9,047.50"," 9,047.50 ",  ,28/01/2021,Jan,Q1,Avery Turner,Paseo,Canada,Profit
Government,CUST_ID_027,PROD_ID_002,Low,"2,013.00",10,7,"14,091.00",281.82,"13,809.18","10,065.00","3,744.18"," 3,744.18 ",  ,21/12/2022,Dec,Q4,Michael Hill,Paseo,England,Profit
Government,CUST_ID_028,PROD_ID_003,Low,"2,966.00",120,350,"1,038,100.00",20762,"1,017,338.00","771,160.00","246,178.00"," 246,178.00 ",  ,13/01/2022,Jan,Q1,Sofia Phillips,Velo,France,Profit
Enterprise,CUST_ID_029,PROD_ID_003,Low,809,120,125,"101,125.00",2022.5,"99,102.50","97,080.00","2,022.50"," 2,022.50 ",  ,08/11/2022,Nov,Q4,Elijah Martin,Velo,Germany,Profit
Enterprise,CUST_ID_030,PROD_ID_003,Low,"2,145.00",120,125,"268,125.00",5362.5,"262,762.50","257,400.00","5,362.50"," 5,362.50 ",  ,19/01/2021,Jan,Q1,Sophia Turner,Velo,Italy,Profit
Government,CUST_ID_031,PROD_ID_003,Low,544,120,20,"10,880.00",217.6,"10,662.40","5,440.00","5,222.40"," 5,222.40 ",  ,30/07/2021,Jul,Q3,Benjamin Lee,Velo,India,Profit
Small Business,CUST_ID_032,PROD_ID_004,Low,214,250,300,"64,200.00",1284,"62,916.00","53,500.00","9,416.00"," 9,416.00 ",  ,21/02/2021,Feb,Q1,Mia White,VTT,Japan,Profit
Government,CUST_ID_033,PROD_ID_004,Low,266,250,350,"93,100.00",1862,"91,238.00","69,160.00","22,078.00"," 22,078.00 ",  ,28/01/2022,Jan,Q1,Logan Garcia,VTT,USA,Profit
Government,CUST_ID_034,PROD_ID_004,Low,"1,940.00",250,350,"679,000.00",13580,"665,420.00","504,400.00","161,020.00"," 161,020.00 ",  ,12/01/2022,Jan,Q1,Charlotte Davis,VTT,Canada,Profit
Government,CUST_ID_035,PROD_ID_006,Low,"2,966.00",260,350,"1,038,100.00",20762,"1,017,338.00","771,160.00","246,178.00"," 246,178.00 ",  ,01/07/2022,Jul,Q3,Samuel Johnson,Amarilla,England,Profit
Channel Partners,CUST_ID_036,PROD_ID_005,Low,908,3,12,"10,896.00",326.88,"10,569.12","2,724.00","7,845.12"," 7,845.12 ",  ,11/12/2022,Dec,Q4,Harper Anderson,Carretera,France,Profit
Government,CUST_ID_037,PROD_ID_001,Low,"1,797.00",5,350,"628,950.00",18868.5,"610,081.50","467,220.00","142,861.50"," 142,861.50 ",  ,16/05/2021,May,Q2,Henry Martinez,Montana,Germany,Profit
Midmarket,CUST_ID_038,PROD_ID_002,Low,"1,945.00",10,15,"29,175.00",875.25,"28,299.75","19,450.00","8,849.75"," 8,849.75 ",  ,02/05/2022,May,Q2,Amelia Wilson,Paseo,Italy,Profit
Midmarket,CUST_ID_039,PROD_ID_004,Low,"1,945.00",250,15,"29,175.00",875.25,"28,299.75","19,450.00","8,849.75"," 8,849.75 ",  ,02/04/2022,Apr,Q2,Jackson Turner,VTT,India,Profit
Government,CUST_ID_040,PROD_ID_002,Low,"1,760.00",10,7,"12,320.00",369.6,"11,950.40","8,800.00","3,150.40"," 3,150.40 ",  ,03/11/2021,Nov,Q4,Abigail Lewis,Paseo,Japan,Profit
Midmarket,CUST_ID_002,PROD_ID_002,Low,"2,261.00",10,15,"33,915.00",1356.6,"32,558.40","22,610.00","9,948.40"," 9,948.40 ",  ,10/04/2022,Apr,Q2,Emma Johnson,Paseo,Canada,Profit
Government,CUST_ID_041,PROD_ID_003,Low,736,120,20,"14,720.00",588.8,"14,131.20","7,360.00","6,771.20"," 6,771.20 ",  ,12/07/2022,Jul,Q3,Aiden Clark,Velo,USA,Profit
Government,CUST_ID_042,PROD_ID_005,Low,"2,851.00",3,7,"19,957.00",798.28,"19,158.72","14,255.00","4,903.72"," 4,903.72 ",  ,20/12/2022,Dec,Q4,Emily Garcia,Carretera,Canada,Profit
Government,CUST_ID_043,PROD_ID_001,Low,"2,851.00",5,7,"19,957.00",798.28,"19,158.72","14,255.00","4,903.72"," 4,903.72 ",  ,14/07/2021,Jul,Q3,Sebastian Phillips,Montana,England,Profit
Midmarket,CUST_ID_026,PROD_ID_002,Low,671,10,15,"10,065.00",402.6,"9,662.40","6,710.00","2,952.40"," 2,952.40 ",  ,15/01/2021,Jan,Q1,Avery Turner,Paseo,Canada,Profit
Midmarket,CUST_ID_044,PROD_ID_002,Low,"1,514.00",10,15,"22,710.00",908.4,"21,801.60","15,140.00","6,661.60"," 6,661.60 ",  ,22/03/2022,Mar,Q1,Elizabeth Martin,Paseo,France,Profit
Government,CUST_ID_016,PROD_ID_003,Low,"2,646.00",120,20,"52,920.00",2116.8,"50,803.20","26,460.00","24,343.20"," 24,343.20 ",  ,05/06/2022,Jun,Q2,Harper Davis,Velo,Japan,Profit
Government,CUST_ID_033,PROD_ID_004,Low,349,250,350,"122,150.00",4886,"117,264.00","90,740.00","26,524.00"," 26,524.00 ",  ,16/02/2021,Feb,Q1,Logan Garcia,VTT,USA,Profit
Midmarket,CUST_ID_045,PROD_ID_004,Low,"1,514.00",250,15,"22,710.00",908.4,"21,801.60","15,140.00","6,661.60"," 6,661.60 ",  ,15/09/2021,Sep,Q3,Alexander Hill,VTT,Germany,Profit
Midmarket,CUST_ID_046,PROD_ID_006,Low,671,260,15,"10,065.00",402.6,"9,662.40","6,710.00","2,952.40"," 2,952.40 ",  ,19/10/2022,Oct,Q4,Avery Anderson,Amarilla,Italy,Profit
Government,CUST_ID_047,PROD_ID_006,Low,"1,778.00",260,350,"622,300.00",24892,"597,408.00","462,280.00","135,128.00"," 135,128.00 ",  ,31/12/2021,Dec,Q4,Michael Wilson,Amarilla,India,Profit
Government,CUST_ID_037,PROD_ID_001,Medium,"1,159.00",5,7,"8,113.00",405.65,"7,707.35","5,795.00","1,912.35"," 1,912.35 ",  ,17/08/2022,Aug,Q3,Henry Martinez,Montana,Germany,Profit
Government,CUST_ID_004,PROD_ID_002,Medium,"2,349.00",10,7,"16,443.00",822.15,"15,620.85","11,745.00","3,875.85"," 3,875.85 ",  ,28/09/2022,Sep,Q3,Olivia Brown,Paseo,France,Profit
Government,CUST_ID_035,PROD_ID_006,Medium,"1,159.00",260,7,"8,113.00",405.65,"7,707.35","5,795.00","1,912.35"," 1,912.35 ",  ,28/03/2021,Mar,Q1,Samuel Johnson,Amarilla,England,Profit
Government,CUST_ID_048,PROD_ID_005,Medium,"1,016.00",3,7,"7,112.00",355.6,"6,756.40","5,080.00","1,676.40"," 1,676.40 ",  ,24/05/2022,May,Q2,Sofia Turner,Carretera,Japan,Profit
Government,CUST_ID_049,PROD_ID_001,Medium,720,5,350,"252,000.00",12600,"239,400.00","187,200.00","52,200.00"," 52,200.00 ",  ,08/04/2021,Apr,Q2,Elijah Perez,Montana,USA,Profit
Small Business,CUST_ID_050,PROD_ID_001,Medium,"1,100.00",5,300,"330,000.00",16500,"313,500.00","275,000.00","38,500.00"," 38,500.00 ",  ,20/01/2021,Jan,Q1,Mia Hill,Montana,Canada,Profit
Government,CUST_ID_004,PROD_ID_002,Medium,"1,228.00",10,350,"429,800.00",21490,"408,310.00","319,280.00","89,030.00"," 89,030.00 ",  ,09/01/2021,Jan,Q1,Olivia Brown,Paseo,France,Profit
Government,CUST_ID_004,PROD_ID_002,Medium,"1,389.00",10,20,"27,780.00",1389,"26,391.00","13,890.00","12,501.00"," 12,501.00 ",  ,16/12/2021,Dec,Q4,Olivia Brown,Paseo,France,Profit
